,nb_inputs,cross_corr,legacy_cross_corr,cp_dot_computation_no_reshape,np_dot_computation_no_reshape,inputs_side_len,nb_kernels,kernels_side_len,depth,speed_up
132,1,0.0010822690001077717,0.000930195999899297,0.0006912260000717652,0.00011493600004541804,32,16,4,1,0.8594868741566732
174,1,0.0010467870001775736,0.0009041849998538964,0.0008292249999612977,0.00015787899974384345,32,20,5,1,0.8637717125838527
188,1,0.0010226350000266393,0.0008890570002222375,0.0009535480003250996,0.0001746189996083558,32,21,7,1,0.8693786152430514
118,1,0.0010121089999302058,0.0008800089999567717,0.0008807870003693097,0.00015051999980641995,32,14,7,1,0.8694804611138292
168,1,0.0010536260001572373,0.0009169560003101651,0.0009314809999523277,0.0001753110000208835,32,19,7,1,0.8702860409417799
158,1,0.0010090300002048025,0.0008884909998414514,0.001000820000172098,0.00022001799970894353,32,18,7,1,0.8805397259359133
208,1,0.0010391000000709028,0.0009159819996966689,0.0009650360002524394,0.0001945510002769879,32,23,7,1,0.8815147720471246
166,1,0.0010204959999100538,0.0009016760000122304,0.0008787639999354724,0.00016554000012547476,32,19,6,1,0.8835664226922044
128,1,0.0009862759998213733,0.0008740849998503109,0.0008987379997051903,0.000169191999702889,32,15,7,1,0.8862478657177285
98,1,0.0009934019999491284,0.0008805679999568383,0.0008675640001456486,0.00015412199991260422,32,12,7,1,0.8864165765741682
56,1,0.0010311639998690225,0.0009143990000666236,0.0007680710000386171,0.0001254879998668912,32,8,6,1,0.8867638903052955
6,1,0.0009812409998630756,0.0008745009999984177,0.000698201999966841,0.00014238399990063044,32,3,6,1,0.8912193845553207
138,1,0.0009884740002235048,0.0008829449998302152,0.0008929830000852235,0.000171588000284828,32,16,7,1,0.893240489512695
96,1,0.0009794299999157374,0.0008769010000833077,0.0007914550001260068,0.00016066900025180075,32,12,6,1,0.8953176849379226
228,1,0.0010385629998381773,0.0009413540001332876,0.0009988179999709246,0.0002170429997931933,32,25,7,1,0.9064004786228315
148,1,0.001065515000391315,0.0009663390001151129,0.0009484550000706804,0.00021097499984534807,32,17,7,1,0.9069220046270777
88,1,0.0010009850002461462,0.0009107769997171999,0.000845348999973794,0.00014728399992236518,32,11,7,1,0.9098807669378025
218,1,0.0010402009997960704,0.000947361000271485,0.0009867419998954574,0.00018823300024450873,32,24,7,1,0.9107480193320459
178,1,0.0010130400000889495,0.0009374169999318838,0.0009502579996478744,0.00017587500042282045,32,20,7,1,0.9253504302392545
68,1,0.0009596730001248943,0.0009165219998976681,0.0008425359997090709,0.00016822499992485973,32,9,7,1,0.9550357254798141
51,1,0.0012543819998427352,0.0012179790001027868,0.0007918360001895053,0.0001454920002288418,32,8,3,3,0.9709793350474478
293,1,0.0010069760000988026,0.0009876670001176535,0.0010057370000140509,0.0002038000002357876,32,32,4,3,0.9808247664499903
283,1,0.0009533630000078119,0.0009486610001658846,0.0010015550001298834,0.00021895899999435642,32,31,4,3,0.9950679858124463
273,1,0.0009594940001989016,0.0009642970003369555,0.00099266200004422,0.0002158279999093793,32,30,4,3,1.0050057635973317
41,1,0.0011941120001210948,0.0012449290002223279,0.0007794260000082431,0.00013844799968865118,32,7,3,3,1.042556309706359
31,1,0.0011383709997971891,0.001237829999809037,0.0007526770000367833,0.00013512200030163513,32,6,3,3,1.087369583404327
21,1,0.0011052350000682054,0.0012038990003020444,0.000783503000093333,0.00013434199991024798,32,5,3,3,1.0892697030294465
181,1,0.0011193270001967903,0.0012205389998598548,0.0008982459999060666,0.00017457700005252264,32,21,3,3,1.090422190874758
